node_name,node_type,impact_pct
DSO_2014,DSO,0.0
CS13-CS,CS,0.005026603618811684
X_1911,X,0.0
CS11-CS,CS,0.017473484677565727
X_2015,X,0.0
X_2014,X,0.0
DSO_2011,DSO,0.0
X_3183,X,0.0
X_1908,X,0.0
CS22-CS,CS,0.009471023811755047
DSO_2013,DSO,0.0
X_3239,X,0.0
DSO_2393,DSO,0.0
X_1907,X,0.0
DSO_2392,DSO,0.0
CS18-CS,CS,0.0
X_1909,X,0.0
DSO_2012,DSO,0.0
CS15-CS,CS,0.006141743917306039
DSO_2803,DSO,0.0
CS05-CS,CS,0.0
DSO_2444,DSO,0.0
X_2123,X,0.0
X_2116,X,0.0
CS16-CS,CS,0.0
DSO_2107,DSO,0.0
CS04-CS,CS,0.0
X_2121,X,0.0
X_2122,X,0.0
IND_0478,IND,0.0
CS20-CS,CS,0.0
DSO_2113,DSO,0.0
DSO_2106,DSO,0.0
X_1903,X,0.0
X_1906,X,0.0
CS26-CS,CS,0.0
X_1905,X,0.0
CS31-CS,CS,0.0
X_2421,X,0.0
X_1901,X,0.0
X_1904,X,0.0
CS34-CS,CS,0.0
CS16-NY-01,CS,0.0
DSO_2016,DSO,0.0
CS36-CS,CS,0.011074045226954753
DSO_2522,DSO,0.0
X_3462,X,0.0
X_2793,X,0.0
X_1934,X,0.0
DSO_2015,DSO,0.0
CS14-CS,CS,0.0
DSO_2018,DSO,0.0
CS19-CS,CS,0.0
X_1927,X,0.0
X_1928,X,0.0
X_1923,X,0.0
CS07-CS,CS,0.0
X_1929,X,0.0
IND_0445,IND,0.0
DSO_2502,DSO,0.0
CS03-CS,CS,0.0027750456995252275
CS16-NY-06,CS,0.0
X_1921,X,0.0
X_1958,X,0.0
CS08-CS,CS,0.0
X_1931,X,0.0
X_1932,X,0.0
CS10-CS,CS,0.005621251294051984
X_2010,X,0.0
X_1916,X,0.0
CS32-CS,CS,0.01606584966941951
CS09-CS,CS,0.004936544601476903
X_1917,X,0.0
DSO_2795,DSO,0.0
X_1915,X,0.0
X_3231,X,0.0
CS48-CS,CS,0.0
X_3232,X,0.0
IND_0444,IND,0.0
X_3223,X,0.0
X_1912,X,0.0
CS37-CS,CS,0.01017222675770461
X_1914,X,0.0
X_1910,X,0.0
X_1913,X,0.0
X_1522,X,0.0
DSO_1667,DSO,0.0
DSO_1668,DSO,0.0
X_1511,X,0.0
X_1525,X,0.0
DSO_1669,DSO,0.0
DSO_2242,DSO,0.0
DSO_2244,DSO,0.0
X_1517,X,0.0
DSO_1689,DSO,0.0
DSO_1664,DSO,0.0
DSO_1663,DSO,0.0
X_2045,X,0.0
X_1957,X,0.0
IND_0461,IND,0.0
X_2188,X,0.0
IND_0331,IND,0.0
DSO_1683,DSO,0.0
IND_0341,IND,0.0
DSO_1684,DSO,0.0
X_1531,X,0.0
X_1529,X,0.0
DSO_1670,DSO,0.0
DSO_1672,DSO,0.0
IND_0344,IND,0.0
X_1528,X,0.0
X_1520,X,0.0
IND_0342,IND,0.0
IND_0339,IND,0.0
DSO_1675,DSO,0.0
IND_0338,IND,0.0
X_1524,X,0.0
DSO_1674,DSO,0.0
X_1523,X,0.0
X_1519,X,0.0
X_1521,X,0.0
DSO_1662,DSO,0.0
IND_0337,IND,0.0
IND_0334,IND,0.0
IND_0335,IND,0.0
DSO_2477,DSO,0.0
X_1897,X,0.0010542709318505578
X_1947,X,0.0010542709318505578
DSO_1659,DSO,0.0
DSO_1661,DSO,0.0
X_1899,X,0.0
X_1900,X,0.0
X_1954,X,0.0
DSO_2895,DSO,0.0
X_2417,X,0.0
X_2488,X,0.0
X_2375,X,0.0
X_2376,X,0.0
DSO_1660,DSO,0.0
IND_0332,IND,0.0
DSO_1665,DSO,0.0
X_1518,X,0.0
DSO_2153,DSO,0.0
DSO_2023,DSO,0.0
IND_0333,IND,0.0
X_1959,X,0.0
X_3267,X,0.0
IND_0387,IND,0.0
X_1526,X,0.0
DSO_2111,DSO,0.0
DSO_2085,DSO,0.0
X_2066,X,0.0
X_3211,X,0.0
X_3275,X,0.0
IND_0391,IND,0.0
IND_0353,IND,0.0
X_1541,X,0.0
IND_0351,IND,0.0
IND_0349,IND,0.0
IND_0350,IND,0.0
DSO_2529,DSO,0.0
X_1543,X,0.0
DSO_2226,DSO,0.0
X_1665,X,0.0
DSO_1697,DSO,0.0
CS06-CS,CS,0.0005896300686856547
CS45-CS,CS,0.0
TPP_0068,TPP,0.0
IND_0346,IND,0.0
X_1538,X,0.0
CS46-CS,CS,0.006693817353699988
IND_0359,IND,0.0
DSO_1745,DSO,0.0
CS01-CS,CS,0.0
DSO_1698,DSO,0.0
DSO_1699,DSO,0.0
DSO_2083,DSO,0.0
DSO_1705,DSO,0.0
TPP_0110,TPP,0.0
DSO_2079,DSO,0.0
DSO_2878,DSO,0.0
IND_0361,IND,0.0
X_2065,X,0.0
TPP_0069,TPP,0.0
X_1542,X,0.0
DSO_1700,DSO,0.0
X_2813,X,0.0
DSO_2227,DSO,0.0
DSO_2228,DSO,0.0
X_3382,X,0.0
X_3523,X,0.0
X_1544,X,0.0
X_1533,X,0.0
DSO_1692,DSO,0.0
IND_0343,IND,0.0
DSO_1690,DSO,0.0
DSO_1685,DSO,0.0
DSO_1687,DSO,0.0
X_1539,X,0.0
X_1535,X,0.0
DSO_1704,DSO,0.0
IND_0345,IND,0.0
IND_0340,IND,0.0
IND_0352,IND,0.0
IND_0355,IND,0.0
DSO_1681,DSO,0.0
DSO_1691,DSO,0.0
DSO_1686,DSO,0.0
DSO_1688,DSO,0.0
DSO_2050,DSO,0.0
IND_0348,IND,0.0
DSO_1703,DSO,0.0
IND_0347,IND,0.0
IND_0356,IND,0.0
IND_0676,IND,0.0
DSO_2189,DSO,0.0
DSO_1708,DSO,0.0
X_1536,X,0.0
DSO_1696,DSO,0.0
X_1537,X,0.0
X_1540,X,0.0
DSO_1677,DSO,0.0
DSO_1678,DSO,0.0
X_1546,X,0.0
IND_0354,IND,0.0
X_1574,X,0.0
DSO_1909,DSO,0.0
TPP_0080,TPP,0.0
X_1579,X,0.0
X_1559,X,0.0
X_1557,X,0.0
DSO_2053,DSO,0.0
X_2845,X,0.0
DSO_1742,DSO,0.0
DSO_1739,DSO,0.0
DSO_1730,DSO,0.0
X_1568,X,0.0
DSO_1736,DSO,0.0
DSO_1743,DSO,0.0
X_1571,X,0.0
X_1570,X,0.0
DSO_1744,DSO,0.0
X_1554,X,0.0
CS34-NY-02,CS,0.0
X_1501,X,0.0
DSO_1726,DSO,0.0
DSO_1729,DSO,0.0
DSO_1719,DSO,0.0
X_2887,X,0.0
DSO_2057,DSO,0.0
X_1555,X,0.0
DSO_1721,DSO,0.0
X_1563,X,0.0
DSO_2631,DSO,0.0
CS34-NY-03,CS,0.0
X_1558,X,0.0
DSO_1731,DSO,0.0
DSO_1959,DSO,0.0
X_1564,X,0.0
X_2572,X,0.0
IND_0358,IND,0.0
X_1552,X,0.0
X_2036,X,0.0
X_1551,X,0.0
DSO_1713,DSO,0.0
IND_0360,IND,0.0
DSO_1710,DSO,0.0
IND_0357,IND,0.0
X_1553,X,0.0
DSO_1717,DSO,0.0
DSO_1718,DSO,0.0
X_1565,X,0.0
X_2040,X,0.0
DSO_1725,DSO,0.0
DSO_2066,DSO,0.0
DSO_1716,DSO,0.0
X_1662,X,0.0
X_1550,X,0.0
X_1548,X,0.0
X_1872,X,0.0
DSO_1834,DSO,0.0
X_3169,X,0.0
DSO_1720,DSO,0.0
DSO_1709,DSO,0.0
X_1580,X,0.0
DSO_2133,DSO,0.0
X_2138,X,0.0
X_3511,X,0.0
X_1547,X,0.0
X_1944,X,0.0
DSO_1711,DSO,0.0
DSO_1712,DSO,0.0
DSO_1892,DSO,0.0
X_1593,X,0.0
IND_0542,IND,0.0
IND_0370,IND,0.0
DSO_1762,DSO,0.0
IND_0371,IND,0.0
IND_0531,IND,0.0
DSO_1754,DSO,0.0
IND_0529,IND,0.0
X_1103,X,0.0
DSO_1752,DSO,0.0
X_1589,X,0.0
DSO_1896,DSO,0.0
IND_0369,IND,0.0
DSO_1756,DSO,0.0
IND_0368,IND,0.0
X_1721,X,0.004161854274645932
DSO_1852,DSO,0.0
X_1666,X,0.0
DSO_2351,DSO,0.0
X_2587,X,0.0
DSO_2371,DSO,0.0
IND_0547,IND,0.0
X_1591,X,0.0
DSO_1759,DSO,0.0
DSO_1761,DSO,0.0
DSO_1758,DSO,0.0
DSO_1760,DSO,0.0
DSO_1757,DSO,0.0
DSO_1819,DSO,0.0
X_2479,X,0.0
X_1582,X,0.0
X_1581,X,0.0
TPP_0070,TPP,0.0
X_1583,X,0.0
IND_0365,IND,0.0
DSO_1747,DSO,0.0
IND_0364,IND,0.0
X_1573,X,0.0
X_1586,X,0.0
X_1587,X,0.0
DSO_1746,DSO,0.0
CS21-NY-02,CS,0.0010650496361223275
DSO_1750,DSO,0.0010650496361223275
X_1584,X,0.0
X_1585,X,0.0
DSO_1735,DSO,0.0
X_1567,X,0.0
X_1569,X,0.0
DSO_1734,DSO,0.0
IND_0524,IND,0.0
X_1612,X,0.0
DSO_2769,DSO,0.003665608652983721
BIO_0021,BIO,0.004788613590140594
DSO_1738,DSO,0.0
DSO_2294,DSO,0.0
DSO_1751,DSO,0.0
IND_0525,IND,0.0
X_1578,X,0.0
IND_0367,IND,0.0
X_1577,X,0.0
IND_0366,IND,0.0
DSO_1749,DSO,0.0
IND_0526,IND,0.0
X_2277,X,0.01707205828586035
CS07-NY-01,CS,0.0
X_2780,X,0.0
X_1706,X,0.0
X_1707,X,0.0
CS03-NY-01,CS,0.0027750456995252275
X_1609,X,0.0027750456995252275
CS19-NY-00,CS,0.0
CS07-NY-04,CS,0.0
X_1610,X,0.0
X_1623,X,0.0
DSO_1774,DSO,0.0
CS19-NY-01,CS,0.0
X_1605,X,0.0
DSO_1773,DSO,0.0
IND_0379,IND,0.0
X_1604,X,0.0
IND_0377,IND,0.0
X_2046,X,0.0
DSO_1771,DSO,0.0
X_2028,X,0.006034735616049082
X_2025,X,0.0
X_1599,X,0.0
DSO_1890,DSO,0.0
IND_0679,IND,0.0
DSO_1894,DSO,0.0
CS14-NY-00,CS,0.0
X_2007,X,0.007016634712171314
IND_0375,IND,0.0
DSO_1772,DSO,0.0
IND_0378,IND,0.0
X_1615,X,0.0
IND_0373,IND,0.0
IND_0374,IND,0.0
X_1603,X,0.0
X_1596,X,0.0
X_1683,X,0.0
X_1698,X,0.0
X_2558,X,0.0
DSO_2359,DSO,0.0
X_1606,X,0.0
DSO_2372,DSO,0.0
X_1602,X,0.0
X_1821,X,0.0
X_1820,X,0.0
X_1597,X,0.0
X_1614,X,0.0
DSO_1847,DSO,0.0
X_1671,X,0.0
DSO_1765,DSO,0.0
DSO_1764,DSO,0.00017982122555892162
DSO_1763,DSO,0.0
IND_0376,IND,0.0
DSO_1767,DSO,0.0
DSO_2817,DSO,0.0
DSO_2312,DSO,0.0
DSO_1768,DSO,0.0
IND_0372,IND,0.0
DSO_2212,DSO,0.002156692359709786
X_1594,X,0.0010743196515599477
DSO_1766,DSO,0.0
X_2309,X,0.009638956128746892
X_1595,X,0.009500328559153691
X_1736,X,0.00657584503840816
DSO_1797,DSO,0.0
DSO_2076,DSO,0.0
DSO_1798,DSO,0.0
X_2050,X,0.0
DSO_1796,DSO,0.0
X_1633,X,0.0
IND_0667,IND,0.0
X_2051,X,0.0
TPP_0073,TPP,0.0
X_1636,X,0.0
X_1627,X,0.0
IND_0651,IND,0.0
DSO_1804,DSO,0.0
DSO_1795,DSO,0.0
TPP_0075,TPP,0.0
IND_0392,IND,0.0
X_1625,X,0.0
DSO_1781,DSO,0.0
DSO_1785,DSO,0.0
X_2523,X,0.0
DSO_1784,DSO,0.0
DSO_1800,DSO,0.0
X_1626,X,0.0
TPP_0071,TPP,0.0
DSO_1794,DSO,0.0
DSO_1780,DSO,0.0
X_1818,X,0.0
X_1618,X,0.0
IND_0382,IND,0.0
DSO_2343,DSO,0.0
X_1674,X,0.0
IND_0383,IND,0.0
DSO_1799,DSO,0.0
IND_0502,IND,0.0
IND_0390,IND,0.0
X_1619,X,0.0
X_1616,X,0.0
X_1617,X,0.0
IND_0384,IND,0.0
IND_0385,IND,0.0
DSO_1783,DSO,0.0
DSO_2179,DSO,0.0
IND_0388,IND,0.0
IND_0386,IND,0.0
DSO_1791,DSO,0.0
IND_0501,IND,0.0
DSO_2178,DSO,0.0
IND_0394,IND,0.0
DSO_1782,DSO,0.0
CS07-NY-03,CS,0.0
DSO_1787,DSO,0.0
X_1620,X,0.0
X_1622,X,0.0
DSO_1789,DSO,0.0
DSO_1786,DSO,0.0
IND_0389,IND,0.0
X_1621,X,0.0
X_2318,X,0.0
DSO_1879,DSO,0.0
DSO_1931,DSO,0.0
DSO_1777,DSO,0.0
DSO_1776,DSO,0.0
